Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Pkts,TotLen,Con Flow count,Conn Timedelta Min,Conn Timedelta Max,Conn Timedelta Mean,Conn Pkt Num Min,Conn Pkt Num Max,Conn Pkt Num Mean,Conn Pkt Num Tot,Conn Pkt Len Min,Conn Pkt Len Max,Conn Pkt Len Mean,Conn Pkt Len Tot,Conn-Rev Flow count,Conn-Rev Timedelta Min,Conn-Rev Timedelta Max,Conn-Rev Timedelta Mean,Conn-Rev Pkt Num Min,Conn-Rev Pkt Num Max,Conn-Rev Pkt Num Mean,Conn-Rev Pkt Num Tot,Conn-Rev Pkt Len Min,Conn-Rev Pkt Len Max,Conn-Rev Pkt Len Mean,Conn-Rev Pkt Len Tot,Time Flow count,Time Timedelta Min,Time Timedelta Max,Time Timedelta Mean,Time Pkt Num Min,Time Pkt Num Max,Time Pkt Num Mean,Time Pkt Num Tot,Time Pkt Len Min,Time Pkt Len Max,Time Pkt Len Mean,Time Pkt Len Tot,Time-Rev Flow count,Time-Rev Timedelta Min,Time-Rev Timedelta Max,Time-Rev Timedelta Mean,Time-Rev Pkt Num Min,Time-Rev Pkt Num Max,Time-Rev Pkt Num Mean,Time-Rev Pkt Num Tot,Time-Rev Pkt Len Min,Time-Rev Pkt Len Max,Time-Rev Pkt Len Mean,Time-Rev Pkt Len Tot,VPN
 131.202.240.150-131.202.6.3-21936-53-17, 131.202.240.150, 21936, 131.202.6.3, 53, 2015-01-04 13:12:12, 2, 284.0, 1, 0, 0, 0.0, 2, 2, 2.0, 2, 284.0, 284.0, 284.0, 284.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2, 2, 2.0, 2, 284.0, 284.0, 284.0, 284.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-104.156.81.217-49394-443-6, 131.202.240.150, 49394, 104.156.81.217, 443, 2015-01-04 13:12:12, 24, 20185.0, 1, 0, 0, 0.0, 24, 24, 24.0, 24, 20185.0, 20185.0, 20185.0, 20185.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 24, 24, 24.0, 24, 20185.0, 20185.0, 20185.0, 20185.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58974-443-6, 131.202.240.150, 58974, 23.235.44.143, 443, 2015-01-04 13:12:12, 224, 438314.0, 3, 0.0, 0.0, 0.0, 25, 224, 92.33333333333333, 277, 13219.0, 438314.0, 160836.66666666666, 482510.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.0, 0.0, 25, 224, 92.33333333333333, 277, 13219.0, 438314.0, 160836.66666666666, 482510.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58973-443-6, 131.202.240.150, 58973, 23.235.44.143, 443, 2015-01-04 13:12:12, 15, 4889.0, 4, 0.0, 0.0, 0.0, 15, 224, 73.0, 292, 4889.0, 438314.0, 121849.75, 487399.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0.0, 0.0, 0.0, 15, 224, 73.0, 292, 4889.0, 438314.0, 121849.75, 487399.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58975-443-6, 131.202.240.150, 58975, 23.235.44.143, 443, 2015-01-04 13:12:12, 17, 8024.0, 5, 0.0, 0.0, 0.0, 15, 224, 61.8, 309, 4889.0, 438314.0, 99084.6, 495423.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.0, 0.0, 0.0, 15, 224, 61.8, 309, 4889.0, 438314.0, 99084.6, 495423.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58976-443-6, 131.202.240.150, 58976, 23.235.44.143, 443, 2015-01-04 13:12:12, 20, 9169.0, 6, 0.0, 0.0, 0.0, 15, 224, 54.833333333333336, 329, 4889.0, 438314.0, 84098.66666666667, 504592.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0.0, 0.0, 0.0, 15, 224, 54.833333333333336, 329, 4889.0, 438314.0, 84098.66666666667, 504592.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-64555-53-17, 131.202.240.150, 64555, 131.202.6.3, 53, 2015-01-04 13:12:12, 2, 264.0, 2, 0.0, 0.0, 0.0, 2, 2, 2.0, 4, 264.0, 284.0, 274.0, 548.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0.0, 2, 2, 2.0, 4, 264.0, 284.0, 274.0, 548.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58969-443-6, 131.202.240.150, 58969, 23.235.44.143, 443, 2015-01-04 13:12:12, 59, 67034.0, 7, 0.0, 0.0, 0.0, 15, 224, 55.42857142857143, 388, 4889.0, 438314.0, 81660.85714285714, 571626.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0.0, 0.0, 0.0, 15, 224, 55.42857142857143, 388, 4889.0, 438314.0, 81660.85714285714, 571626.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58972-443-6, 131.202.240.150, 58972, 23.235.44.143, 443, 2015-01-04 13:12:12, 71, 96379.0, 8, 0.0, 0.0, 0.0, 15, 224, 57.375, 459, 4889.0, 438314.0, 83500.625, 668005.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0.0, 0.0, 0.0, 15, 224, 57.375, 459, 4889.0, 438314.0, 83500.625, 668005.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-28373-53-17, 131.202.240.150, 28373, 131.202.6.3, 53, 2015-01-04 13:12:12, 2, 264.0, 3, 0.0, 0.0, 0.0, 2, 2, 2.0, 6, 264.0, 284.0, 270.6666666666667, 812.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.0, 0.0, 2, 2, 2.0, 6, 264.0, 284.0, 270.6666666666667, 812.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.244.5-55217-53-17, 131.202.240.150, 55217, 131.202.244.5, 53, 2015-01-04 13:12:12, 2, 318.0, 1, 0, 0, 0.0, 2, 2, 2.0, 2, 318.0, 318.0, 318.0, 318.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2, 2, 2.0, 2, 318.0, 318.0, 318.0, 318.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-55217-53-17, 131.202.240.150, 55217, 131.202.6.3, 53, 2015-01-04 13:12:12, 2, 270.0, 4, 0.0, 0.0, 0.0, 2, 2, 2.0, 8, 264.0, 284.0, 270.5, 1082.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0.0, 0.0, 0.0, 2, 2, 2.0, 8, 264.0, 284.0, 270.5, 1082.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-74.125.226.12-44225-443-6, 131.202.240.150, 44225, 74.125.226.12, 443, 2015-01-04 13:12:13, 19, 4447.0, 1, 0, 0, 0.0, 19, 19, 19.0, 19, 4447.0, 4447.0, 4447.0, 4447.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 19, 19, 19.0, 19, 4447.0, 4447.0, 4447.0, 4447.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-21026-53-17, 131.202.240.150, 21026, 131.202.6.3, 53, 2015-01-04 13:12:13, 2, 264.0, 5, 0.0, 1.0, 0.25, 2, 2, 2.0, 10, 264.0, 284.0, 269.2, 1346.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.25, 2, 2, 2.0, 10, 264.0, 284.0, 269.2, 1346.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-64.233.171.95-34994-443-6, 131.202.240.150, 34994, 64.233.171.95, 443, 2015-01-04 13:12:13, 17, 4452.0, 1, 0, 0, 0.0, 17, 17, 17.0, 17, 4452.0, 4452.0, 4452.0, 4452.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 17, 17, 17.0, 17, 4452.0, 4452.0, 4452.0, 4452.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-31255-53-17, 131.202.240.150, 31255, 131.202.6.3, 53, 2015-01-04 13:12:13, 2, 314.0, 6, 0.0, 1.0, 0.2, 2, 2, 2.0, 12, 264.0, 314.0, 276.6666666666667, 1660.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.2, 2, 2, 2.0, 12, 264.0, 314.0, 276.6666666666667, 1660.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58980-443-6, 131.202.240.150, 58980, 23.235.44.143, 443, 2015-01-04 13:12:13, 14, 2078.0, 9, 0.0, 1.0, 0.125, 14, 224, 52.55555555555556, 473, 2078.0, 438314.0, 74453.66666666667, 670083.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0.0, 1.0, 0.125, 14, 224, 52.55555555555556, 473, 2078.0, 438314.0, 74453.66666666667, 670083.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-40361-53-17, 131.202.240.150, 40361, 131.202.6.3, 53, 2015-01-04 13:12:13, 2, 294.0, 7, 0.0, 1.0, 0.16666666666666666, 2, 2, 2.0, 14, 264.0, 314.0, 279.14285714285717, 1954.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0.0, 1.0, 0.16666666666666666, 2, 2, 2.0, 14, 264.0, 314.0, 279.14285714285717, 1954.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58978-443-6, 131.202.240.150, 58978, 23.235.44.143, 443, 2015-01-04 13:12:13, 14, 4194.0, 10, 0.0, 1.0, 0.1111111111111111, 14, 224, 48.7, 487, 2078.0, 438314.0, 67427.7, 674277.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0.0, 1.0, 0.1111111111111111, 14, 224, 48.7, 487, 2078.0, 438314.0, 67427.7, 674277.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.33.217-40229-443-6, 131.202.240.150, 40229, 23.235.33.217, 443, 2015-01-04 13:12:13, 31, 13519.0, 1, 0, 0, 0.0, 31, 31, 31.0, 31, 13519.0, 13519.0, 13519.0, 13519.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 31, 31, 31.0, 31, 13519.0, 13519.0, 13519.0, 13519.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58979-443-6, 131.202.240.150, 58979, 23.235.44.143, 443, 2015-01-04 13:12:13, 77, 98888.0, 11, 0.0, 1.0, 0.1, 14, 224, 51.27272727272727, 564, 2078.0, 438314.0, 70287.72727272728, 773165.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0.0, 1.0, 0.1, 14, 224, 51.27272727272727, 564, 2078.0, 438314.0, 70287.72727272728, 773165.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-72.21.91.187-58033-443-6, 131.202.240.150, 58033, 72.21.91.187, 443, 2015-01-04 13:12:13, 112, 162389.0, 1, 0, 0, 0.0, 112, 112, 112.0, 112, 162389.0, 162389.0, 162389.0, 162389.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 112, 112, 112.0, 112, 162389.0, 162389.0, 162389.0, 162389.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.235.44.143-58977-443-6, 131.202.240.150, 58977, 23.235.44.143, 443, 2015-01-04 13:12:13, 15, 4104.0, 12, 0.0, 1.0, 0.09090909090909091, 14, 224, 48.25, 579, 2078.0, 438314.0, 64772.416666666664, 777269.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0.0, 1.0, 0.09090909090909091, 14, 224, 48.25, 579, 2078.0, 438314.0, 64772.416666666664, 777269.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-74.125.226.26-39410-443-6, 131.202.240.150, 39410, 74.125.226.26, 443, 2015-01-04 13:12:13, 59, 22094.0, 1, 0, 0, 0.0, 59, 59, 59.0, 59, 22094.0, 22094.0, 22094.0, 22094.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 59, 59, 59.0, 59, 22094.0, 22094.0, 22094.0, 22094.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-50253-53-17, 131.202.240.150, 50253, 131.202.6.3, 53, 2015-01-04 13:12:13, 2, 313.0, 8, 0.0, 1.0, 0.14285714285714285, 2, 2, 2.0, 16, 264.0, 314.0, 283.375, 2267.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0.0, 1.0, 0.14285714285714285, 2, 2, 2.0, 16, 264.0, 314.0, 283.375, 2267.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-64.233.171.156-37514-443-6, 131.202.240.150, 37514, 64.233.171.156, 443, 2015-01-04 13:12:13, 33, 6029.0, 1, 0, 0, 0.0, 33, 33, 33.0, 33, 6029.0, 6029.0, 6029.0, 6029.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 33, 33, 33.0, 33, 6029.0, 6029.0, 6029.0, 6029.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.78.235.219-39508-80-6, 131.202.240.150, 39508, 23.78.235.219, 80, 2015-01-04 13:12:13, 6, 0.0, 1, 0, 0, 0.0, 6, 6, 6.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 6, 6, 6.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.78.215.238-48026-80-6, 131.202.240.150, 48026, 23.78.215.238, 80, 2015-01-04 13:12:13, 6, 0.0, 1, 0, 0, 0.0, 6, 6, 6.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 6, 6, 6.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.78.235.219-39509-80-6, 131.202.240.150, 39509, 23.78.235.219, 80, 2015-01-04 13:12:13, 5, 0.0, 2, 0.0, 0.0, 0.0, 5, 6, 5.5, 11, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0.0, 5, 6, 5.5, 11, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-27594-53-17, 131.202.240.150, 27594, 131.202.6.3, 53, 2015-01-04 13:12:13, 2, 317.0, 9, 0.0, 1.0, 0.125, 2, 2, 2.0, 18, 264.0, 317.0, 287.1111111111111, 2584.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0.0, 1.0, 0.125, 2, 2, 2.0, 18, 264.0, 317.0, 287.1111111111111, 2584.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-199.127.194.142-41243-443-6, 131.202.240.150, 41243, 199.127.194.142, 443, 2015-01-04 13:12:14, 17, 4657.0, 1, 0, 0, 0.0, 17, 17, 17.0, 17, 4657.0, 4657.0, 4657.0, 4657.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 17, 17, 17.0, 17, 4657.0, 4657.0, 4657.0, 4657.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-72.21.91.187-58034-443-6, 131.202.240.150, 58034, 72.21.91.187, 443, 2015-01-04 13:12:14, 17, 5447.0, 2, 1.0, 1.0, 1.0, 17, 112, 64.5, 129, 5447.0, 162389.0, 83918.0, 167836.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1.0, 1.0, 1.0, 17, 112, 64.5, 129, 5447.0, 162389.0, 83918.0, 167836.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-199.127.194.142-41242-443-6, 131.202.240.150, 41242, 199.127.194.142, 443, 2015-01-04 13:12:14, 64, 29149.0, 2, 0.0, 0.0, 0.0, 17, 64, 40.5, 81, 4657.0, 29149.0, 16903.0, 33806.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0.0, 17, 64, 40.5, 81, 4657.0, 29149.0, 16903.0, 33806.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-209.148.205.41-34178-443-6, 131.202.240.150, 34178, 209.148.205.41, 443, 2015-01-04 13:12:14, 4, 0.0, 1, 0, 0, 0.0, 4, 4, 4.0, 4, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 4, 4, 4.0, 4, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-3672-53-17, 131.202.240.150, 3672, 131.202.6.3, 53, 2015-01-04 13:12:14, 2, 459.0, 10, 0.0, 1.0, 0.2222222222222222, 2, 2, 2.0, 20, 264.0, 459.0, 304.3, 3043.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0.0, 1.0, 0.2222222222222222, 2, 2, 2.0, 20, 264.0, 459.0, 304.3, 3043.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-131.202.6.3-24853-53-17, 131.202.240.150, 24853, 131.202.6.3, 53, 2015-01-04 13:12:14, 2, 296.0, 11, 0.0, 1.0, 0.2, 2, 2, 2.0, 22, 264.0, 459.0, 303.54545454545456, 3339.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0.0, 1.0, 0.2, 2, 2, 2.0, 22, 264.0, 459.0, 303.54545454545456, 3339.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-209.148.205.41-34177-443-6, 131.202.240.150, 34177, 209.148.205.41, 443, 2015-01-04 13:12:14, 11408, 50091193.0, 2, 0.0, 0.0, 0.0, 4, 11408, 5706.0, 11412, 0.0, 50091193.0, 25045596.5, 50091193.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0.0, 4, 11408, 5706.0, 11412, 0.0, 50091193.0, 25045596.5, 50091193.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.78.245.109-55662-443-6, 131.202.240.150, 55662, 23.78.245.109, 443, 2015-01-04 13:12:15, 3, 0.0, 2, 7.0, 7.0, 7.0, 3, 3, 3.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7.0, 7.0, 7.0, 3, 3, 3.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131.202.240.150-23.78.226.24-53846-80-6, 131.202.240.150, 53846, 23.78.226.24, 80, 2015-01-04 13:12:16, 6, 0.0, 1, 0, 0, 0.0, 6, 6, 6.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 6, 6, 6.0, 6, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
